,tweet,labels
14275,tak perlu kot video call tu nak buat apa sangat video call nak tatap apa sampai juling tak payah nak contact ,-1
2856,"suku lampung anjing semua , setuju tidak kalau suku lampung dibasmi dari muka bumi ini",-1
6948,"karena kebetulan saya sedang menginap dihotel trans dan malas bepergian jauh-jauh mengingat sekitaran nya sering macet jadi saya pikir tidak ada salah nya mencoba artiste . minuman nya lumayan lengkap , makanan nya juga enak , ada live music nya dan yang pasti free wifi juga pelayan nya yang ramah dan membantu .",1
21738,rasulullah melarang mengaitkan fenomena alam dengan musibah yg mengaitkan gempa dan tsunami di palu dan donggala dengan ,-1
23076,gua curiga vaksin corona beracun abistu mematikan usut usut ngurangin penduduk padat,-1
7880,pada akhir pekan memarin kami dengan beberapa temen janjian bertemu di kedai rumah hayo nya rumah jalan turnojoyo bandung . disuni khusus masakan rumah . dan ada jualan roti-roti dan kue . kami semua datang jam 3:00 sore hanya minum - munum saja . es c tape dan es jeruk dab tak ada yang spesial . kedai ini kosong tamu dikit sekali . sesungguhnya tidak rekomendasi .,-1
6783,loh kenapa tidak tenggelam ? dikira ini memberitakan orang tenggelam,-1
2683,"tidak bosan apa film indonesia yang main reza rahadian terus , bukan bilang dia tidak bagus , tetapi kalau pemain itu itu melulu jenuh juga melihat nya .",-1
12567,gila punya perempuan gaduhikit sampai 7 bulan tak tegur lelaki gaduh hari ni esok dah stable sesama ,-1
7121,kamu manusia paling penakut yang pernah ku jumpai,-1
10340,"pelayan tidak tahu informasi steak yang dijual , simbol jam / jenis daging / jenis kentang nya . pas minta air mineral dingin , diberikan malah yang biasa . aneh .",-1
4325,"kan sudah jawab kalau tidak bisa info kan , mau pesan langsung apa lagi . memang orang pacaran pakai pesan langsung segala , ini komplain yang serius .",-1
1272,"oh iya diketerangan kan note 3 pro , kok yang dikirim note 3 ya , kecewa juragan",-1
12125,"asli cantik sangat , barang nya bagus",1
5028,"cinta pada pandangan pertama . perasaan itu langsung melanda saat memasuki area restoran , pemandangan hijau dari ketinggian langsung tersaji , hawa segar dan sejuk bandung yang mulai susah didapatkan di pusat kota langsung tersedia dengan berlimpah . pelayanan ramah dan jelas berkelas kita dapatkan di sini . menu yang tersedia cukup bervariasi , dan tarif nya pun sepadan dengan rasa dan suasana .",1
19779,mo nangisetiap ngeliat ini tu knp mereka gasuruh dia berdiri gemes ,-1
14409,orang selalu kata aku penat when dia sebenarnya tengah rasa sedih ,-1
5002,agak sulit menemukan tempat makan ini karena berada di gang sempit . rasa kari nya sangat nikmat dan daging nya juga empuk .,1
18553,pada tanggal 2 oktober 2009 lembaga kebudayaan internasional unesco meresmikan kain batik sebagai warisan kemanusiaan u ,1
23339,vaksin valid kewajiban vaksinasi dicabut reaksi negatif penyuntikan pemerintah jepang membayar gantirugi,-1
18938,tau apa kamu tentang berjuang hp lemot dikit aja pencet tombol home ,-1
8323,ya suka akulah yang komentar masbulo islam bodoh masa sembayang nya punggung-punggung seperti di video porno .,-1
13829,makasih udah bikin aku ketawa di kelas hehe,1
23072,vaksin melatih kekebalan tubuh melawan virus virus corona kenal kebal vaksin melatih tubuh kenal lawan kebal penyakit virus bakteri,-1
9150,"amat tidak terorganisir dan mengecewakan . karyawan nya masih kelas warteg . bayangkan ! lobby depan restoran yang seharusnya menjadi tempat drop - zone keluar masuk tamu , diisi / diparkir mobil seperti difoto . sehingga sulit bagi tamu keluar masuk terutama saat hujan deras . ketika kami mau keluar , komplain pada karyawan , karena mobil tidak bisa mendekat . karyawan nya hanya terdiam lugu , sembari bingung mencari yang punya mobil .",-1
4935,"ini bagaimana cerita nya indihome seharian los lalu , kan percuma bayar mahal kalau kayak gini",-1
373,makan malam bersama keluarga di restoran alas daun tidak mengecewakan . rasanya enak . nasi tutug oncom nya juga juara rasanya . sambal variasi nya banyak . aneka lauk khas sunda dan pepesan juga enak dan harga standar tidak terlalu mahal . cuma untuk makan seafood sepertinya mahal ya . hehe .,1
22303,dalam keadaan prihatin sperti ini bukannya bsa saling bahu membahu ehhh kok malah masih sempat2nya mem bul ,-1
15772,aku sumpah cheese ni penyelesaian segala masalah kat malaysia nak kedai makan laris jual makanan dengan cheese nak b ,1
16187,tadi malem berdoa pengen ngeliat bidadari ehh di fto ini aku bisa liat dikabulin ternyata,1
3029,"sangat menarik untuk di-explore dan sangat cocok untuk keluarga karena ada playground nya . pemandangan sangat bagus , udara sangat segar . banyak variasi makanan yang tersedia .",1
3750,jokowi suka menggandeng cucu nya,1
10892,sam s stroberi corner di lokasi dago atas adalah tempat favorit saya dan keluarga untuk makan siomay dan batagor serta jus stroberi yang enak banget .,1
22648,maaf aku cuma nganggap kamu temen gausah minta maaf aku dah biasa kok ,-1
16842,tiada kena mngena dengan aku haha,1
8463,top itu baru mahasiswa ui . peduli kebenaran untuk rakyat indonesia . rektor dan dosen ui nya payah genk nya pemerintah,-1
2419,"kemarin saya lagi punya uang berlebih nih , jadi sekali sekali saya mau makan abuba steak lagi , saya sudah sering makan di sini , karena steak nya yang enak banget",1
21245,pendidikan apa yg diterima mereka yg komennya spt ini kemana perginya moralitaspeechlesspt manusia yg hanya ad ,-1
19299,aamiinn tapi ustaz punya sorry memang win ,1
7064,"makanan nya enak , menarik , platina nya juga bagus . saya suka ih makan di sini . enak , nama nya juga lucu-lucu",1
18133,nah beda sama idol yg comeback setahun 3 4 kali yang norak itu kamu nder gak pernah ngerasa hyp ,-1
9607,"yuk bantu perjuangan kawan-kawan civil society pelayanan pelanggan yang sedang menggugat jr pt 20 % di mk , bantu tt petisi ini untuk demokrasi yang lebih baik .",1
7992,lokasi resto sangat bagus di persawahan yang sejuk . ! tetapi baik makanan maupun pelatnas sih biasa biasa saja dan tidak terlalu istimewa harga lumayan mahal sih,1
7616,"apa ini orang pdip semua ya ? wah kompak ya ? ada menko , ada menteri , ada gubernur , ada anggota dewan di sini kenyang di sana kenyang di mana mereka kenyang",-1
23703,berisik vaksin lebihbaik pemerintah beli vaksin vaksin kelompok berisik ribet kasih vaksin gratis berterimakasih bersyukur biarkan covid lenyap dngn biarkan sgl sakit sembuh serahkan allah,1
7547,"buang saja pak , uu kok bikin kebal sendiri . kalau fh nyinyir biarkan saja .",-1
18731,but nobody ever seems to pay dan none of theseob s are going to prison ,-1
18564,halah palingan mereka yang bikin give away juga lo retweet kan ,-1
3092,makanan dan konsep restoran ini benar-benar representasi dari inggris . menu yang ditawarkan kebanyakan adalah makanan dari inggris . interior nya pun sangat klasik,1
9943,"bubur ayam ini sudah ada sejak lama , saya beberapa kali pernah makan bubur ayam ini , rasanya enak dan gurih , tak heran banyak orang menyukai bubur ayam ini",1
13870,kok enak banget aku yg tanggung kamu tinggal jawab aja ,-1
4906,"resto ini tempat nya masih sama dari dulu sampai sekarang , kalau ke resto ini jangan lupa beli makanan barat nya , karena enak dan harga nya tidak mahal",1
18514,nct dibilang pansos karena suka jbjbin artis western wkwk mereka juga manusia kali punya idola dan panutan bisa fanboyin ,1
877,"untuk tempat sih lumayan nyaman , makanan yang tersedia juga banyak macam nya , lokasi nya pun gampang dicari soal nya terletak dibagian kompleks mall , tempat parkir luas tetapi di luar jadi kalau hujan agak repot sih keluat dari parkir ke tempat makan nya pasti ribet . untuk pembayaran kan memakai nota dan bayar di kasir , kadang-kadang antre di kasir nya tidak santai . dan makanan yang dipesan juga sampai ke meja .",1
23054,Selamat Hari Batik Nasional menunjukan Identitas adalah wujud Kebanggaan kita terhadap Bangsa HariBatikNasional B ,1
23345,masyarakat pesimis apriori menolak vaksin kelompok anti jokowi berisik pengaruhi masyarakat dngn agr pemerintah gagal tangani covid ekonomi buang duit beli vaksin lebihbaik uang fokus perbaikan ekonomi,-1
6627,kfc dago terletak di lokasi yang oke banget dan area krc nya sendiri luas banget . terdapat juga brand kfc yang menjual kopi . nyaman banget dah dan jarang harus berebutan kursi . lapang .,1
20455,tak semua faham ni bila kita give up bcs their shitty attitude anggap kita tak sayang or cepat give up lol diri sendi ,-1
2327,mengapa kalian tidak pernah mempertanyakan keislaman seorang prabowo subianto yang sudah jelas ibu nya beragama kristen protestan ?,-1
17552,katanya limit saldo kurang padahal limitnya sisa banyak jauh di atas harga barang pindah merchant laen dengan har ,-1
5986,restoran ini terletak di lantai paling atas dari trans hotel . menyajikan hidangan asian dan makanan barat . dinner di retaurant ini menyajikan pengalaman yang berbeda karena bandung pemandangan at malam tersaji dengan indah saat malam,1
11609,jahat,-1
9985,"entah siapa guru si yupi ini , kerja nya memfitnah dan memftnah .",-1
1984,"rumah makan di jalan anggrek ini memiliki keistimewaan jenis seafood yang beragam dan ada yang masih hidup untuk dipilih dan dimasak saat itu juga . berbagai jenis masakan dapat dipilih dan waktu tunggu yang singkat membuat kita tidak terlalu lama kelaparan menunggu . menu steam kerapu sangat enak dan gurih , apalagi bila dimasak dengan ikan yang masih segar . lokasi cukup sejuk , harga murah .",1
21713,dari sini aja kita sudah paham ko kalau ada petinggi yang tidak suka melihat persib juara beda kelas lah sama mere ,-1
5408,"rasanya enak karena kamping bakar ini dari kambing yang masih muda , bahkan tulang nya pun lunak , hanya saja bumbu terlalu tajam karena memang di sesuikan dengan makanan khas timur tengah . disajikan dengan hot plate tambah menggugah selera untuk menyantap nya",1
4237,"dari beberapa restoran berkonsep di bandung saya lebih suka di tempat ini . karena suasana malam nya lebih romatis dan rimbun . desain nya unik agak bertingkat-tingkat , ada air terjun , dan pepohanan nya rimbun . saya sangat suka tahu goreng di sini , rasanya berbeda dengan tahu-tahu biasa . untuk porsi dan harga cukup sesuai , rasanya juga cukup enak walaupun bukan masakan sunda terenak yang pernah saya makan .",1
8484,"makanan nya sekarang semakin biasa saja rasanya . kurang bisa mempertahankan mutu citarasa masakan nya . berlokasi di mal bip menjadi tempat makan yang cukup ramai dikunjungi tamu dengan harga yang lumayan bersahabat . udang nya alot , kulit nya sulit untuk dikupas . demikian juga dengan cumi goreng nya alot .",1
10754,aburizal boker ini memang benar-benar dah . ampe nama anggota senior golkar yang nyaris tanpa cacat hukum semua pun kagak di pandang . kenapa supaya bisa lolos dari tanggung jawab di masalah lapindo ya ? maka dari itu mau duduk terus sebagai ketua umum,-1
7593,menyesal selama ini keringat ku terbuang sia sia,-1
9833,bosan sekali duduk di bangku hijau iniii,-1
23008,Mari berdoa bersama semoga Allah senantiasa memberikan anugerah keselamatan dan kesehatan bagi kita semua Bagi saudara ,1
6017,ternyata otak nya fh sangat tidak berkualitas . perlu belajar lagi supaya nyinyir nya lebih bermutu .,-1
20543,kan biar kamu mumet je ,-1
16400,iya ka gimana ya gapaham aku ehe,-1
2574,"kalau sudah watak pembohong , sulit untuk dinasehati",-1
5021,kamera nya jadi jelek dah pas update ke android oreo,-1
8859,"kami sering makan di restoran ini sejak lebih dari 10 tahun yang lalu . bagi penggemar makanan cina makanan , hidangan di restoran ini patut dicoba .",1
17197,pernah lagi curhat ama temen deket akunya ampe nangis2 gitu ditengah nangis bisa2nya kentut amp bunyi 2x akhirnya ,-1
3518,suara adzan maghrib berisik amat . masjid nya harus dibakar nih .,-1
6243,kalau melihat muka orang ini bawaan emosi tingkat dewa . cok .. !!,-1
18244,apa aoaan ini kalo belum fix jangan di globalkan dong bikin versi beta nya dan sekarang gimana ca ,-1
7585,saya kapok menggunakan jasa lion air,-1
17665,lebih baik kurang kawan daripada ramai kawan sebab takut mereka cakap belakang pasal kau dan tikam kau ,-1
4245,tempat nya enak untuk nongkrong beramai-ramai seperti rapat atau arisan . banyak pilihan menu makanan dan minuman .,1
1719,tidak senang,-1
7687,"makanan di sini enak , variatif dan relative murah . saya saat itu pesan steak . rasanya mantap , dan beberapa jenis makanan juga kami coba semuanya tidak mengecewakan , dengan harga yang pas makan di sini pasti puas",1
6997,"sebagai penggemar bakso tahu , kualitas terbaik bisa didapat di saboga . sedikit mahal tapi puas . apalagi banyak pilihan menu lain selain bakso tahu batagor nya juga enak .",1
19412,pak edy pesen ojol jemputnyadi mana pak apa urusan anda menanyakan itu bukan hak anda bertanya kepada sayaiappakedy,-1
20178,orang2 yg terlalu sibuk mencari kesalahan maka mereka akanmelewatkan banyak kesempatan ,-1
9155,"waspada jawa barat , jangan tergiur iming-iming dari pdip , pdip tenggelamkan saja",-1
12137,"jangan mau beli sarimi , asin banget bumbu nya , mecin !",-1
1333,xiaomi sih walau murah tapi tidak murahan asik,1
5232,tempat makan dengan nuansa doraemon . harga makanan nya murah dan banyak pilihan . tempat nya tidak terlalu luas tapi nyaman . di lantai 2 di buat menyerupai kamar nobita lkp dengan meja belajar mesin waktu dan pintu ke mana saja . banyak boneka doraemon dan komik-komik yang bisa dibaca saat menunggu makanan . selain itu sambil menikmati hidangan kita bisa menonton film doraemon . anak saya senang makan . lanjutan,1
19271,idm mereka masuk tv local mereka bener bener di notice dunia semua orang bangga sama mereka aku juga bangga bangta ,1
3294,"talad thai adalah sebuah restoran baru di kota bandung yang menawarkan menu thai makanan . berlokasi di sebuah rumah dengan halaman depan yang luas , di mana ada indoor dan di luar dining area . area parkir cukup luas . dekor ruangan nya seru dengan warna-warna ceria dengan beberapa dekorasi yang unik yang cukup instagrammable . ditambah dengan free wifi sehingga bisa langsung upload foto ke media sosial .",1
9791,"di sini disediakan macam-macam nasi goreng dengan nama unik . seperti nasi goreng mafia , nasi goreng triad , nasi goreng brandal . setiap nama memiliki rasa dan bumbu yang berbeda . ada bumbu rempah di dalam nya . pedas nya pas di mulut . harga murah meriah .",1
12282,kamu jahat dubu lt ,-1
4936,"resto ini masih dekat dengan rumah famili , kami makan malam ke porto restorant . tempat nya unik dan klasik sekali saya suka sekali adem dan nyaman . soal menu masakan nya banyak pilihan nya . dan soal rasa tidak kalah dengan yang lainnya .",1
22484,apa yang bagi kita terlihat biasa bisa saja sangat luar biasa bagi orang lain yang membutuhkan,1
2209,"yang merasa cemburu , mohon tahu diri . anda bukan siapa-siapa .",-1
18888,terlalu byk pelanggaran pakkedar mengingatkan masa jbtan bpk sbntar lg berakhir sd kah bpk menuntaskan ka ,-1
22855,Jangan ucapkan janji yang tak bisa kamu tepati Jangankatakan cinta jikatak tulus dari hati Karena akhirnya seseorang akan kamu lukai ,-1
19158,peternak dan pedagang sapi di madura sempat terpana dgn janji utk tdk impor daging sapi tp setelah terpilih jd ,1
7202,pelayanan bus mi sangat baik,1
1196,ustad-ustad itu pengikut dajjal ! jangan diikuti . nanti kamu ikut sesat .,-1
17171,memang junior skrng tak reti hormat senior ke aku dulu senior tegur pasal sangul aku dah malu gila kot nih aku ,-1
5191,sayang,1
23603,pandemi kabar pasien sembuh covid mencapai orang mengutamakan protokol kesehatan sembari menunggu vaksin atasi pandemi,1
16836,dari hal hal baikaya belajar mengucap syukur dari hal hal buruk aku belajar menjadi kuat ,1
11540,"makanan nya mahal , cuma pemandangan nya saja keren . makan saja harus daftar tunggu , servis nya lama , cuma nya ramah sih , makan nya di pondok-pondok begitu alias saung gituw . ada aer terjun nya .",1
11523,"kalau ke bandung tidak sah kalau tidak mampir ke sini . batagor ini memang tidak setenar batagor riri atau yang lainnya , tapi soal rasa sih juara . di sini ada pilihan batagor kering atau kuah . ada juga batagor kering bumbu nya bisa dicampur atau dipisah . saya lebih suka batagor kering dan bumbu nya dipisah . kalau ke sini pasti makan 2 porsi . wajib dicoba .",1
60,"sampai kapan pun saya tidak akan memilih orang pengecut seperti prabowo . menurut saya , dia tidak pantas memimpin negara .",-1
7744,gerindra yang seharusnya bubar . bukan indonesia . kan partai itu beban buat bangsa indonesia .,-1
187,"dulu kaum babi menyebut ketua komnas ham , natalius pigai sebagai monyet manusia hitam gara-gara membela habib rizieq , nah sekarang ketika komnas menyerang fahri hamzah , kaum babi malah muji-muji komnas ham . dasar penjilat .",-1
23441,penyebaran covid dihentikan salah satunya vaksin,-1
15292,kan aku pi padang brown pakcik ayaq teruih tanya mak mana mak sihat ka hahahahahaa ,1
14535,mau bubeks mau ,1
23224,vaksin menjaga daya tahan tubuh infeksi virus corona rto,-1
1112,sby juga cabut saja warga kehormatan nya ! lagipula sepakterjang sby uji banding banyak penyelewengan nya jika di banding pengabdian nya !,-1
12653,aku cinta w1 ,1
15099,maafin aku ya belum bisa lupain kamu ,-1
203,"saya diajak ke sini oleh teman saya yang sedang kuliah di bandung , pertama diajak saya kira seperti cabe rawit yang ada di dekat unpar , ternyata jauh berbeda , tempat ini letak nya sangat strategis dekat dengan jalan . dago dan memiliki pilihan menu yang cukup banyak . suasana nya sendiri sangat nyaman , mendukung untuk duduk lama untuk mengobrol sambil makan dan minum . kualitas makanan dan minuman nya pun rasanya enak .",1
4077,tresemme anti rontok kok malah bikin rontok,-1
21954,bahagia kita jangan cerita dekat orangekotor air longkang kotor lagi hati sesetengah orang dari puji boleh jadi ke ,1
18420,dia pemimpin dia bisa kordinasikan jajaran utk segera bisa melakukan kegiatan penanggulangan bencana secara terustuktu ,1
3307,"bagi anda penyuka makanan khas sunda , tentu rm ampera sudah menjadi daftar wajib yang akan anda ku njungi dan mungkin tidak cukup sekali . rm ampera bandung menawarkan lebih banyak hal dibanding rm ampera di tempat lain , mungkin karena bandung adalah asal muasal rm sehingga dalam beberapa lebih komplit . wajar . yang kita suka jika mengunjungi ampera tentu karena panganan yang sudah matang .",1
16423,yesss aku guna idea ni,1
6865,"tempat yang sangat nyaman untuk nongkrong . makanan dan minuman yang lezat , ditambah suasana kafe yang nyaman , lingkungan yang teduh , menjadikan tempat ini layak direkomendasikan .",1
4259,ah paling unggul kalau masalah kedisiplinan,1
11596,bosan sama sinetron kisah anak orang seperti doang,-1
13491,orang orang kisah cintanya kayak novel apalah aku cuman kek buku tulis sidu kosong yang tulisannya practice mak ,-1
4086,"makan di sini nyaman , tempat romantis dan nyaman . pemandangan juga bagus dan saya senang di sini . menu juga enak-enak dan banyak pilihan .",1
13549,tak sangka ramai yang mendoakan aku dalam diam ,-1
6540,batagor kingsley merupakan salah satu batagor yang paling terkenal di kota bandung . beberapa kali ke bandung selalu mampir ke sini untuk membeli batagor sebagai oleh-oleh . mengenai cita rasanya menurut saya batagor kingsley enak .,1
17863,hendaklah mereka mereka yg memandang bahwa menikah itu pintu rezeki memikirkan ulang pandangannya ituebab banyak sekali ,-1
613,masih pakai indihome kakak . wuuu . gantilah mahal lemah otak pula .,-1
8236,"tempat nya nyaman untuk ngobrol sama teman . kue-kue nya enak . lalu ada juga makanan penutup yang isi nya es serut , dan bubble , rasanya enak .",1
17468,iya akunya bukan insucure masalah komunikasi kalo bisa dm kenapa pakai wa nanti aku kasih nomer wa aku kalo wa udah bikin wa untuk alter,-1
3043,bayar mahal kualitas murahan,-1
3492,"setelah kami bergegas dari penginapan , saya dan keluarga singgah untuk makan siang di kampung daun ini . tempat nya nyaman untuk keluarga maupun pasangan , makanan yang disajikan juga tergolong enak dan untuk menu nya disediakan mulai dari makanan dan minuman traditional hingga modern .",1
9989,"makanan enak dan tempat nyaman , lebih enak datang sore , harga cukup mahal , lokasi di dalam perumahan agak sulit di temukan",1
8662,suasana di sini sangat nyaman dan dingin ditambah espresso dan hot chocholate nya mantap menemani malam yang dingin . pelayanan yang diberikan oleh mbak delayg baik serasa mengobrol dengan teman sendiri . sangat rekomendasi .,1
3699,"saat saya datang ke tempat ini sewaktu menghadiri acara pernikahan teman saya , lokasi strategis , sejuk , luas , asri dan pemandangan sangat cocok untuk berbagai kegiatan acara .",1
4900,ridwan kamil pasti kalah mending jadi arsitek saja,-1
6765,"padahal baru jam 4 sore di hari kamis . saya dan teman saya mau coffe break di dakken jalan riau , bandung . saya lupa kami pesan minuman apa waktu itu , hanya yang saya ingat adalah pada saat pilih menu a , dibilang dengan pelayan nya sudah habis . lalu kami pilih menu b , . eh sudah habis juga . akhirnya terpaksa memilih menu lain . cukup menyebalkan .",-1
16544,buto sampai sekarang aku dendam pergi takda belon anjink ,-1
2834,"resto ini tempat nya sangat menawan mempunyai halaman yang luas . penataan nya sangat serasi dan bagus . suasana nya sangat nyaman untuk menyegarkan . menu cukup banyak dan beragam seperti nasi soto ayam , nasi timbel , tenderloin steak , sirloin steak , chkcken steak , spaghetty dan masih banyak lagi . nasi timbel rasanya enak dan mantap . tenderloin steak rasanya gurih dengan daging yang empuk . spaghetty rasanya enak dan mantap .",1
7981,"restoran bergaya jepang sayang nya tidak menyediakan ramen sejenis nya sushi hanya ada salad sushi , yaitu sayuran yang di roll seperti sushi makanan pelayanan harga lokasi saran pribadi saya kalau datang ke sini , wajib coba tofu pudding ini enak banget",1
14169,aku bisa terima semua ini walaupun aku harus terluka ' ,-1
4731,cocok buat nongkrong sama keluarga atau teman . makanan nya juga enak . suasana nya kayak kembali ke masa nostalgia zaman dahulu . cocok buat yang suka foto-foto sebelum makan .,1
11351,"bukalapak barang nya bagus lengkap , bisa ada potongan ongkir .",1
19792,hmm nanti tak dak duit nak kawin kenapa kita dah tua hahaha,1
4238,"makanan nya mahal mahal , dan masakan nya kurang enak , apalagi kalau lagi tinggi season , mengantre . pemandangan nya bagus sih , tapi bukan itu yang saya cari .",-1
8868,"tempat makan dengan menu komplit , pelayanan cepat . suasana antik , nyaman , meskipun agak kurang luas . suka menu bebek nya , dari nasi goreng maupun mie . beberapa kali ke sana pas ada promo dari kartu kredit lumayan diskon nya .",1
6828,hanya leaving hotel grand clarion makassar . pelayanan yang sangat mengecewakan :,-1
16303,menangis tak berlagu terus,-1
764,"there was some gazebo atau bale-bale as the dining room . when saya visited kampung daun , mujaer bakar as my option due to i love ikan bakar with sambal . the tase definitely delicious , cause i successfully eat one of mujaer just by myself hehe . di sana terdapat beberapa gazebo atau bale-bale sebagai tempat makan . ketika berkunjung ke sana saya memesan mujaer .",1
