,tweet,bert_predict,lstm_predict,bert_lstm_predict
25,seng wes vaksin sinovac piye rasane sesuk arepe daftar vaksin,-1,-1,-1
26,hati vaksin puskesmas cenderung tdk transparan terbuka utk isi suntikan dr botol vaksin sinovac terisi vaksin tdk atau tdk suntikan msrkt vaksin ma al tdk tunjukan isi botol vaksin isi suntikan msrkt mohon pelynan nakes vaksin ma al,-1,-1,-1
27,hampir sebulan vaksin baru tau kalo dikasi vaksin yg astra zeneca tiwas panik kok temennya emak yg vaksin bareng bsk juli dah vaksin lg aku agustus baru vaksin lgi ternyata kebagian sinovac aku yg astra zeneca,-1,-1,-1
28,mak vaksin tadi pfizer sinovac paepet tu,-1,-1,-1
29,udah vaksin sinovac kali tp ga diterima tuh gimana maksudnya gue vaksin gitu,-1,-1,-1
30,waktu awal kek nya seneng banget udah vaksin sinovac sekarang kek nyesel ga sabaran dikit aja nunggu astrazeneca,1,-1,1
31,efek gua rasakan tadi siang vaksin sinovac tahap pertama tangan habis divaksin pegel kepala rada pusing pusingnya ilang timbul ngantuk laper waktu jam udah makan kali,-1,-1,-1
32,yang udah vaksin pakenya sinovac az,-1,-1,-1
33,vaksin sinovac udah mulai susah ditemukan kah,-1,-1,-1
34,kurang paham orangorang berburu vaksin sinovac ya efisikasinya doi kecil personally gue pengen pfizer az jg gapapa bismillah sehat,1,-1,1
35,sejauh vaksin bisa digunakan indonesia udh macam jarang terjadi efek samping menyebabkan komplikasi baru sinovac ada vaksin yang paling murah aman astrazeneca yang baru pakai terbangak ini india,1,1,1
36,efek vaksin sinovac emg gini ya jadi ga pengen jauh kamu,-1,-1,-1
37,kita beli vaksin sinovac gegara butuh kesehatan emang disuruh china sih nanya doang kang bakso canda kang bakso,-1,1,-1
38,gak kalo nolak vaksin kecuali vaksin nusantara yg diambil sel dendritik sendiri baru oke vaksin sinovac vaksin pfizer serem vaksin moderna serem vaksin nusantara,-1,-1,-1
39,parno efek samping vaksin hari tetep divaksin krn wajib vaksin sinovac astrazeneca ya dok astrazeneca mas,-1,1,-1
40,minta testi vaksin sinovac sis bro udah vaksin,-1,-1,1
41,vaksin covid hari sinovac alhamdulillah ada efek samping kecuali berasa pegal tangan disuntiknya oh ya jadi makan mulu bye diet,1,1,1
42,perekonomian kembali bergerak indonesia pulih semula vaksin untuk usia tahun menggunakan vaksin sinovac acara vaksinasi di laksanakan hari tanggal sabtu juli jam wib tempat mal kelapa gading,1,1,1
43,honestly fuck orang pilih vaksin punya tunggu vaksin orang reject sinovac,-1,-1,1
44,abis vaksin jd alig taunya sinopal sinovac,-1,-1,-1
45,kalo vaksin pertamanya dpt az ga ya vaksin kedua dapetnya pfizer sinovac,-1,1,-1
46,juta vaksin corona sinovac masuk indonesia punya juta dosis detiknews,1,-1,1
47,yeay hari vaksin pertama kebagiannya sinovac apapun kebagian jatahnya udah gue doadoain gada efek samping taunya mual,-1,-1,-1
48,jog rencana besok vaksin pake sinovac sebenernya takut efek sampingnya parah soalnya anak kost tinggal sendirian menurut gimana,-1,-1,-1
49,efek vaksin sinovac ngantuk nafsu makan demam emosian,-1,-1,-1
50,khofifah jg melihat langsung proses pemberian vaksin sinovac trhdap org peserta vaksinasi loh,1,-1,1
51,abis vaksin sinovac semoga aja efek samping besok bahasa mandarin hehe,1,1,1
52,pas jamannya vaksin az nyarinya sinovac udah balik sinovac nyarinya az hoomanhooman,-1,-1,-1
53,sebenernya sih kalo kata paper az mayanlah kalo udah dosis sinovac yg aja sih adanya dulu gw dokter gak usah pilih yg penting tau abis vaksin takabur pake sinovac,-1,-1,-1
54,knp ditawarin vaksin sinovac org org teh nolak ya kesehatan atuh sakitnya disuntik ga dibanding sakit covid,-1,-1,-1
55,kelantan yg dpt vaksin sinovac dihentikan merta dpt vaksin pfizer tk rase pilih kasih bhai pasnie dpt pfizer baper juta vaksin akan tiba,-1,-1,-1
56,vaksin pertama sinovac kirakira bakal jadi jago tenis gak ya habis kaya si novac jokovic,1,-1,1
57,jam vaksin sinovac ngantuk bgt anjir,-1,-1,-1
58,bts sinovac yok yok suksesnya vaksinisasi covid indonesia,1,1,1
59,pertanyaan serius ga sib ambil vaksin corona dua kali misalnya sinovac trus pfizer pas udah,-1,-1,-1
60,vaksinnya ntar aja ah nunggu pfizer moderna dll masuk indonesia vaksin kan tinggi efikasinya dibanging sinovac astrazeneca denger,1,-1,-1
61,udah vaksin sinovac ternyata si varian baru keok nya vaksin az pfizer hadah hadah ya bismillah aja,-1,-1,-1
62,pengen vaksin astra zeneca dapatnya sinovac yaa syukuri aja alhamdulillah skrg susah vaksin,1,-1,1
63,vaksin bandung banyaknya pake sinovac ya,1,1,-1
64,yg kena covid akhir akhir naik ya angkanya yg uda divaksin sinovacaz jg masi kena harusnya gejala ringan ya tetep loh prokes dijalankan sampe angka yg kena covid sekitar org kalo diatas org mending nurut aja deh,-1,-1,-1
65,yg udah vaksin pake sinovac gak badan gue lemes bgt,-1,-1,-1
66,cerita seliweran tl kena covid sedang jagain sodara nyari igd pake ngejudge sinovac gak bagus tuh gimana cara pikirnya sih,-1,-1,-1
67,unik ya peserta vaksin yang dok sinovac ya aztra soalnya takut efek sampingnya yang dok gamau sinovac maunya yg aztra soalnya mau luar negeri,1,-1,-1
68,btw bentar ada debat kasta vaksin sinovac astra zeneca baru aja nih terjadi saya teman kerja yg vaksin az bilang bagus dibanding sinovac yaelah elu gak dibantu didaftarkan orang yg pakai sinovac lu bakal dapat sinovac,-1,-1,-1
69,vaksin sinovac ada gak sih kira,-1,-1,-1
70,abis vaksin pake sinovac sejauh gk efek samping yg gmn sih ya kyk aja lengan anget aja dibilang pegel banget gk,-1,-1,-1
71,nawarin vaksin astra gamau maunya sinovac ampun deh udah gratis ae milih,-1,1,-1
72,saur pake vaksin sinovac biar daya tahan tubuh kuat,1,1,1
73,baru vaksin sinovac alhamdulillah aman aja,1,1,1
74,yey semoga sabtu vaksin vihara untungnya sinovac pgn sinovac sihh dripada astrazeneca takut soalnya banyak side effectnya,1,1,1
75,lapor vaksin sinovac tahap rasanya digigit semut kayak semut waktu sunat ya,-1,-1,-1
76,ditempatku ada vaksin astra keknya sinovac,1,-1,1
77,ku vaksin pertama mboh vaksinnya sinovac kayaknya ngikut kakak aja,-1,-1,1
78,covid yg menyerang itu varian deltadan yg kena nakes yg notabene di vaksin sinovac masyarakat umum yg vaksin sinovac kena,-1,-1,-1
79,kalo efek vaksin biofarma tuh ape sih kaya sinovac,-1,-1,-1
80,vaksin sinovac berasal negara cina untuk dosis pemakaian vaksin kali jangka waktu hari untuk usia th efek samping ditimbulkan cukup ringan bersifat seperti nyeri lokasi penyuntikan nyeri otot sakit kepala,-1,-1,-1
81,sejauh yang dapet ijin edar darurat vaksin sinovac astrazeneca semoga vaksin segera menyusul,1,1,1
82,vaksin sinovac bangun tidur jari manis tangan kiri kebas ini pengaruhnya ngga muskulus yg disuntik kemarin,-1,-1,-1
83,rakyat beragama islam disuntik vaksin sinovac mereka mengerjakan ibadah umrah haji,-1,-1,1
84,cek serology kuantitatif keadaan gak memungkinkan kepo antibodi yg udah kebentuk temen sinovac pas cek yg udah covid nah penasaran sinopharm,-1,-1,-1
85,di vaksid covid resmi menjadi geng sinovac pengennya masuk geng pfizer jnj,-1,-1,-1
86,side effect vaksin tiap org beda den sinovac astra aja masih vaksin guys gausah milih,-1,-1,-1
87,banyak nolak vaksin merk sinovac sekarang jadi berebut,-1,-1,-1
88,ketemu ibu beda unit tangga tije ngobrol basabasi ada pertanyaan ika udah nikah belom banyak pertanyaan bisa ditanyakan ika udah positif trus isoman gak vaksin belumikut vaksin gelombang pertama kedua sinovac astra,-1,1,-1
89,gak indonesia negara makai vaksin sinovac sampai ini menapat kejelasan saudi terkait pelaksaan haji muslim eropa sudah vaksin pfizer dkk belum mendapat kepastian usul gw jokowi sbg presiden jemput bola,-1,-1,-1
90,vaksin nya udh mulai pake astra huhu sebenernya pengen vaksin astra sinovac tp gapapa milih milih gatau dapetnya virus dateng kapan aja tujuannya vaksin juga,-1,-1,-1
91,ribut nolak vaksin sinovac dah dikasih az takut krn bnyk yg kipi bingung pengen sinovac,-1,-1,-1
92,bodo ba org kelantan tok vaksin mok racist,-1,-1,-1
93,orang yues bilang sinovac aman orang cainis bilang pfizer tak efektif bingung pa vaksin aja yaa,-1,-1,-1
94,yg divaksin nanya mending vaksin sinovac astrazeneca,1,-1,-1
95,nama vaksin keren bgt sinovac astrazeneca aplg astrazeneca kek yuh bada jk besok ak vaksinasi,1,1,1
96,dips vaksin di gubernuran pakainya sinovac astrazenica ya,-1,-1,1
97,sebenernya yg bikin dagdigdug rencana pemberian dosis ketiga untuk nakes pake moderna nakes dipastikan sudah vaksin lengkap sinovac kurang ok untuk varian baru yaa berdoa sinovac moderna banyak kipi,-1,1,1
98,vaksin sinovac dosis sejauh sama ga efek apaapa tangan pegel sedikiit aja numi nyusu lancar jaya alhamdulillah bismillah semoga sehatsehat terus,1,-1,1
99,hari vaksi coronavac sinovac yaudah penting vaksin,-1,1,-1
100,abis vaksin sinovac menit abis divaksin lgsg pegel tangan kirinya trs skrg ngantuk ya krn emg kalo siang gini rumah gua tidur siang sih wkwk,-1,-1,-1
101,ade sape dpt ruam teruk lepas vaksin sinovac,-1,-1,-1
102,vaksin pertama dikasih az ekspektasinya kemaren pake sinovac yg kaya yaudahlayaa,1,1,1
103,vaksin nya sinovac pulangnya baca bahasa ibrani,-1,-1,-1
104,vaksin yang bagus pfizer sinovac astrazeneca,1,1,1
105,uda vaksin kedua coronavac kek sinovac efeknya ga selebay vaksin pertama sih cmn kemengnya hr,-1,1,-1
106,gw ga vaksin sinovac buatan china blm teruji bla bla bla bla trus ngetawain vaksin sinovac abal abal maunya buatan yurop amrik bla bla bla maju yuk vaksin duluan perjuangkan hak bla bla bla prek ah hahaha,-1,1,-1
107,jam pasca vaksin sinovac biofarma tangan pegel dikit sisanya aman,1,1,1
108,besok dikampus ku vaksin sinovac gatau hari aku rasanya ga fit skrg pinggang ku sakit huhu gmn ya,-1,-1,-1
109,pas indonesia dapet vaksin sinovac dibilang produk china emang teruji giliran udah dapet vaksin astrazeneca yg ngepasin probel negara eropa australia dibilang proyek vaksin jadi rebutan negara weh jg fungsi bpom vaksin bisa ga untuk masy,-1,-1,-1
110,eh gimanasi rasanya vaksin sinovac aduh takut bgt dah,-1,-1,-1
111,pengunggah menyebut pemasangan chip vaksin sinovac digunakan untuk memantau rakyat indonesia,-1,-1,-1
112,khofifah menambahkan ratusan ribu vaksin sinovac bakal digunakan utk kali dosis vaksin,1,1,1
113,oh iya update efek vaksin sinovac kaga apa ngantuk doang,-1,-1,-1
114,gawat ya nakes ketat prokes sudah sinovac tembus covid covid mankind round sta,-1,-1,-1
115,kemenkes investigasi lambatnya vaksinasi sinovac astra zeneca indonesia memberdayakan puskesmas setempat rumkit mengalami rsud bekasi,-1,-1,-1
116,ku kira dapet vaksin sinovac eh ternyata vaksin astrazeneca pantesan tepar bapake gk bilang atuh mah asal suruh vaksin aje,-1,-1,-1
117,kadang aja kelakuan warga yg bikin jantungan waktu diinjeksi udah tinggal jos bilang kemaren vaksin astra katanya bu weey anjirlah sinovac sumpah temen gua langsung nengok hah udah degdegan anjer taunya kuping rusak,-1,-1,-1
118,vaksin karya anak bangsa bagus kenapa impovaksin sinovac bodo lho,-1,-1,-1
119,yg udah dua kali vaksin sinovac cuma jaga aja jaga kesehatan biar gak gampang sakit divaksin ya gak lebih baik dosisnya mereka belum divaksin,-1,-1,-1
120,pdhal vaksin ga sakid palagi yg sinovac orang syusah bgt ya di ceramai wkwk,-1,-1,-1
121,pengen vaksin gak dapet sinovac gak sih milih elah,-1,-1,-1
122,breaking rsad denpasar menerima vaksinasi covid untuk anak usia tahun vaksin sinovac syarat cukup membawa kia kk,1,1,1
123,sus sdh vaksin pake sinovac perlu vaksin ga tanya dokter ga suster lgs suntikamp bilang bln lg loh koq jadi suntik sus oh maap td ga denger kl ibu sdh vaksin nya lah mimpi horor semalem,-1,-1,-1
124,banyak kesebar kalo vaksin sinovac tuh bahaya sih kapan gue keluar rumah tenang,-1,1,-1
125,dah vaksin sinovac alhamdulillah semoga cepet membaik awak yok awak,1,1,1
126,perdebatan vaksin lebih bagus sinovac siroger,1,1,1
127,btw mau daftarin usahanya vaksin gotong royong ngehubungin rs jasem citra medika vaksinnya sinovacsputnik sinopharm,1,-1,1
128,iki kancaku beda lantai pas kantor vaksin ma al ragelem melu mergo nganggo sinovac ngenteni az opo pfizer saiki ambruk bar wae mlebu omni dadi ngrepoti kancane kon ngurus anak bojone gawean sgala macem,-1,-1,-1
129,vaksin gak sinovac,-1,-1,-1
130,bpom ikatan dokter anak indonesia memberikan persetujuan penggunaan vaksin sinovac untuk anak,1,1,1
131,yang udah vaksin vaksinnya sinovac astrazeneca,1,-1,1
132,yg di vaksin sinovac ga,-1,-1,-1
133,ku apdet nama vaksin maksud indonesia taunya sinovac doang,-1,-1,-1
134,pusat pemberian vaksin idcc shah alam ramai harini pernah kes covid proses pemberian vaksin sangat lambat hadir pukul siap mengambil vaksin pukul harap pihak selesaikan masalah ini,-1,1,-1
135,udah vaksin sinovac vaksin lain ga sih,-1,-1,-1
136,housemate sorg dpt tarikh vaccine alhamdulillah vaksin az pfizer sinovac,1,-1,1
137,yg abis vaksin sinovac gmn reaksinya abis vaksin pas jalan parkiran udh oleng pingsan aja rasanya,-1,-1,-1
138,yg garda terdepan aja vaksin sinovac yg rumah aja kecentilan nungguin astrazeneca pfizer,1,-1,-1
139,katanya divaksin sinovac bakal vaksin sinovac ya benar infonya,-1,-1,1
140,semalam mimpi disuntik vaksin covid merk sinovac pertanda kah,-1,1,-1
141,vaksin sinovac isinya virus jamu buyung upik sih perasaan laperan mulu,-1,-1,-1
142,fyi aja grup wa temen gua yg diru dapat kabar katanya kemungkinan ru mau ngirim vaksin sputnik alhamdulillah option vaksin indonesia yg penting jgn sinovac dah semoga hoax,1,1,-1
143,abis vaksin sinovac makan es krim ga syg,-1,1,-1
144,jam vaksin sinovac mulai timbul gejala ringan rasa kangen kepadamu,-1,-1,-1
145,habis vaksin sinovac cuman doang ada gelaja vaksin huft,-1,-1,1
146,jarak vaksin sinovac dosis tuh lama sih gue barusan dapet notif kalo dipercepat jadi jarak minggu,-1,-1,-1
147,gak sengaja kebaca suatu replies nanya tempat vaksin covid suatu daerah cuma yang az doang gak pake sinovac ah elah gak usah milih milih anjir lu pake vaksin yang penting yang tersedia aja,-1,-1,-1
148,yg udah vaksin sinovac jarak vaksin pertama kedua minggu ya,-1,1,-1
149,eh mening daftar vaksin sinovac ngga ya,-1,-1,-1
150,bandung vaksinasi mulai adakan untuk umum sinovac astrazeneca tinggal pilih yang sinovac biofarma tunggu juli tersedia di rshs bisa kodimkodam beberapa pengumuman yg tersebar,1,1,1
151,vaksin yg dipke sinovac pakenya sinovac efeknya nggak nggak sih aja nggak pegel ya org suka nanya texting telpon klo di telpon yaa aja nggak kedengeran gajelas,-1,-1,-1
152,merasa goblok dulu milih vaksin sinovac drpd astra,-1,-1,-1
153,adakah vaksin covid lengkap sinovac terus vaksin biar dapet astrazeneca kalo vaksin nik ktp nya tercatat database nasional orang yg sudah divaksin pendataan sini sampai secanggih,-1,1,1
154,tu aku lapar teruk lepas cucuk sinovac eh rog virus covid tu aman,1,1,1
155,bagusan vaksin sinovac astra otoparts,1,-1,1
156,agc vaksin sinovac sy lihat bagus koqkenaikan titer antiobodinya meningkat lipat krn vaksin yg mudah diterima muslimsinovac sy liat kenaikan titer antibodinya lipat,1,1,1
157,pak jokowi lebih hari pak erdogan vaksinasi covid nya samasama sinovac hari turki sono juta dosis di indonesia juta dosis mo kelar coba,1,1,1
158,kemarin gue kepikiran kalo eropa gak untuk orang yg vaksin sinovac kalo cina memberlakukan yang apa gak runyam tuh kaya jadi perang vaksin brand ya,-1,-1,-1
159,bumil vaksin dgn catatan menggunakan sinovac sblm vaksin kontrol ke spog akhirnya angin segar,-1,1,1
160,kalo efek vaksin sinovac nambah nafsu makan mah seninggu vaksin deh,1,1,1
161,gaes tanya seputar vaksin gaak sinovac tuh jarak dosisnya sebulan ya efeknya gimana kalian ktnya ngantuk ma laper ya trs demam gak kira efeknya bertahan lama ya seminggukah lebih hehe makasi,-1,-1,-1
162,update sama isu vaksinasi covid indonesia yuk coba jawab pertanyaan salah satu komponen vaksin sinovac,-1,-1,1
163,ayah umur tahun opah umur tahun keduadua cucuk vaksin sinovac coronavac dos pertama menunjukkan sebarang kesan sampingan daripada sakit ditempat cucuk,-1,-1,-1
164,yang vaksinasinya lengkap dari bulan semenjak dosis terakhir yang sudah test antibodi kuantitatif share hasilnya liat perbandingan vaksin apapun sinovac az pfizer dll tolong retweet biar cakupan luas,1,1,1
165,udah selesai vaksin dapatnya sinovac yg antrenya pas divaksinnya jadi inget imunisasi waktu sd,-1,-1,1
166,enam org kntorku kena covid smua dah divaksin sinovac mrk hny isoman krn gejala ringan demam batuk pilek pusing skit tenggorokn pegel anosmia hari dah jauh lbh baik mrk bahkn tetep bs ikut zoom meeting prlindungn vaksin nyata jgn ragu divaksin,-1,-1,-1
167,jadi hari gua vaksin sinovac tunggu ada efek sampingnya badan gua,-1,1,-1
168,bu dito vaksinnya sinovac aja gabisa blm vaksin anak remaja bu dito tahun umurnya tahun,-1,1,-1
169,setengah jam vaksin sinovac tangan kiri pegal pegal rasanya menggelitik mungkin pengaruh mens,-1,-1,-1
170,nyatanya sakit tinggal daripada suntik vaksin sinovac,-1,-1,-1
171,yang tau pemberian dosis kedua vaksin astrazeneca lama ya pada vaksin sinovac,-1,1,-1
172,yg demen vaksin sinovac smntara vaksin aztra hm,-1,-1,1
173,efek vaksin sinovac emg ratarata laper ngantuk yapantes aja kemarin laper mulu,-1,1,-1
174,alhamdulillah hari udah divaksin dosis pertama kedapetan vaksin sinovac sampe skrg ngerasain ngantuk sm laper pegel aja bekas suntikan,-1,-1,-1
175,ish gatau vaksin mah bio farma tp sinovac tuh pabriknya bio farma gaksih yaudalaya,-1,-1,-1
176,baru tau vaksin pfizer tu bfmom cucuk sinovac takleh cucuk,-1,-1,-1
177,klo vaksin sinovac ganti nama jadi lianhua xiahua kayaknya tante tante tanah abang ngga banyak nanya soal vaksin efektif ngga,-1,-1,1
178,abis vaksin sinovac gua pikir bakal jadi putih kayak cina ternyata aja,-1,-1,1
179,ya elah udah sih gak usah dipermasalahin tuh dapet vaksin sinovac astrazeneca penting udah vaksin selesai nyebelin ya kalo yg sekitar mempermaslahkan dapet vaksin,-1,1,-1
180,eh iya udah vaksin pertama sinovac trus positif tetap bisaperlu vaksin kedua gak,1,1,-1
181,ok ges vaksinasi kedua tangan rasanya kebas tenggorokan kering puasa kali ya mual ngantuk laper puasa cuk punggung berat kek gendong krucil vaksin dipake dapatnya sinovac emang rerata keluhan vaksin gitu sih santai aja chuuyy,-1,1,-1
182,mending gas ttp ambil vaksin sinovac cibubur tunggu deket rumah ya kampus gw dah minta sertif vaskinnya asap,-1,-1,-1
183,jog efek pegel habis vaksin sinovac brp ya efek nggak,-1,-1,-1
184,baca wanya mamah grup keluarga mamah mba ternyata adekmu ga dapet vaksin sinovac dapetnya coronavac,-1,-1,-1
185,reaksi yg udah vaksin sinovac,-1,1,-1
186,kalo vaksin sinovac mandi ngga si guys,-1,-1,-1
187,vaksin berkat orang dalem dapetnya sinovac terus taunya kantor dapet jatah untuk kalangan parekraf dapetnya astrazeneca ya gitu penyesalan selalu datang terakhir,1,-1,-1
188,puji tuhan udah vaksin tahap dapet sinovac cumen kemeng sm ngantukan vita sekeluarga sehat dikelilingi orang sehat,1,1,1
189,wahaye suntik vaksin ngku ta critani pengalaman di vaksin sinovac bismillah dungakne lancar,1,1,1
190,lbp marives menkes budi sadikin segera diganti tujuannya untuk mencegah korban wni meninggal dunia banyak akibat kegagalan keduanya menanggulangi pandemi covid lbp tangkas abs menkes tangkas bisnis vaksin sinovac tak valid menjadi valid,-1,1,1
191,pake astra dibilang haram ada babi pake sinovac dibilang korban vaksin berisik lu rakyat,-1,-1,-1
192,telyu mastiin vaksin dari telyu vaksin ya sinovac,-1,-1,1
193,menkes diganti miliki kompetensi keilmuwan atasi pandemi covid bisanya bisnis vaksin sinovac juga tak ada jaminan orang dapat vaksin sinovac untuk tertular covid banyak wni pribumi jadi korban vaksin sinovac jak menkes,1,1,-1
194,emang iya kalo udah vaksin lengkap sinovac masi kena covid,-1,1,-1
195,alhamdulillah dah vaksin ga tau vaksin az sinovac wkwk ndak berasa ya ternyata pas disuntik,1,-1,1
196,abis vaksin sinovac tangan kiri kaku pegel bgt dah,-1,-1,-1
197,kalau vaksin sinovac terbuat dr virus covid yg mati,-1,-1,-1
198,kalo yg udah vaksin sinovac perlu vaksin az,-1,1,-1
199,vaksin sinovac bikin kebal loh buktinya raffi ahmad habis divaksin kebal hukum yg kebal spt raffi komen dan retweet malam minggu,1,-1,1
200,lurr yg butuh vaksin kegiatan serbuan vaksinasi serentak dosis sinovac wilayah jajaran korem wdengan agenda berikut hari selasa sd sabtu tanggal sd juli pukul wib sd selesai selasa tgl juli cont,1,-1,1
201,vaksin harusnya sinovac sin tae yong biar bawa piala dunia,-1,-1,1
202,vaksin sinovac diakui negara kasian calon calon dubes mau bertugas,-1,-1,-1
203,vaksin sinovac tahap efeknya langsung ngantuk malam hari persendian linu,-1,1,-1
204,ya tuhan nervous di vaksin sinovac besok pagi wkwk,-1,-1,1
205,vaksin covid sinovac yg digunakan pemerintah indonesia ini,1,1,1
206,alasan vaksinasi agar dapat vaksin dokter terawan berefek naiknya saham sinovac astrazeneca bismillah jadi komisaris indofarma,1,1,1
207,orang kalo pake jenis vaksin berbeda dosis pertama kedua boleh kah papaku vaksin pertamanya pakai az nanti diberitau vaksin kali keduanya bakal diganti pakai sinovac,-1,1,-1
208,weih dengar wartawan tu ckap kumpulan kedua ketiga pakai vaksin jenama astrazenecaoxford sinovac mrna weakened virus selamat menelaah vaksin,-1,1,1
209,finally udah vaksin sinovac vaksin berasa haus banget sih,1,1,1
210,alhamdulillah sinovac untuk usia gt thn goodjob bpom populasi rentan emg salah satu nya usia tua semoga penelitian vaksin covid terus berkembang akhirnya menjangkau masyarakat biar sehat,1,1,1
211,vaksin fiuh capek nunggu nama dipanggil disuntiknya mah cepet hm oh iya vaksin sinovac,-1,-1,-1
212,bpom menyatakan sinovac terbukti efektif mencegah gejala covid,1,-1,1
213,vaksinasi sinovac upaya elit umat manusia konsumtif alias anjing semenjak vaksin gue bawaannya laper mau makan manis manis mulu bikin idup boros fak,-1,-1,-1
214,kata kadun chip yg disuntikkan lwt vaksin sinovac knp gk bikin hoaks sembako bansos sdh dipasangi chip penyadap berasnya chips yg bikin jd zombie knp gk rame nolak takut kelaparan yadrun,-1,-1,-1
215,screening orang vaksin sinovac lucu yah dok pilek uda sembuh vaksin ga hm perasaan sembuh sehat misteri illahi gimana ceritanya bapaknya tau klo uda sembuh,1,1,1
216,ketua tim riset uji klinis vaksin covid sinovac prof kusnandi rusmil menyatakan masyarakat perlu ragu keamanan vaksin sinovac menyebut gejala timbul usai divaksin sinovac bersifat lokal sistemik tangkal hoax vaksin kovid,-1,-1,-1
217,dari masyarakat ngga disuntik vaksin az alasan iniitu sampe cari sentra yg pake sinovac kebanyakan sentra kembali pake sinovac tp cari az alasan sinovac gak efektif emang bener orang yg disuntik kuah kari ayam aja,-1,-1,-1
218,lupa banget ya allah kalo vaksin tu sama pertama az yg kedua barusan dokter udh bilang sinovac ya gue gak ngeh kalo az malah seneng aja dpt sinovac berharap efeknya gak nyampe meriang petugasnya panik,-1,-1,-1
219,rek saran vaksin sing apik opo sinovac astrazeneca karo sinopharm lek ajane pengen vaksin bansos soale butuh duek,-1,-1,-1
220,vaksin pake sinovac tangan pegelnya plus nyeri lama perasaan ketimbang pertama untungnya gak demam pusing kayak pas vaksin pertama ngantuk doang,-1,-1,-1
221,atlit ygsudah vaksin sinovac krn sinovac diakui jadi atlit cina atlit indo yg vaksin sinovac di vaksin ulang amankah vaksin dgn merk vaksin yg beda,1,-1,-1
222,beneran takut kalo ntar diskriminasi vaksin anak vaksin pfizer sinovac ga nikah cari aja yg setara hih serem,-1,-1,-1
223,konyol yg dengar hari katanya vaksin sinovac bikin gabisa ngaceng wtf,-1,-1,-1
224,sobat ayo dukung gerakan warga negara menuntut kejujuran pemerintahan terkait jujur twk jujur efikasi vaksin sinovac jujur rp triliun yg caircair jujur rencana perpanjang masa jabatan presiden periode,1,-1,1
225,bes hbs vaksin sinovac rasanya mmg pusing bgt dikepala ya,-1,-1,-1
226,jog vaksin gedung tni au sinovac astra ya,1,-1,1
227,rencana meh vaksin ping lengen kiwo astrazeneca lengen tengen sinovac,-1,-1,-1
228,besok vaksin katanya dapet vaksinnya astrazeneca cmiiw banyak yg katanya vaksinnya pas rs nya dapetnya yg sinovac trus katanya efek nya beda beda tapi yg demam nya bener bener fit divaksin,1,-1,-1
229,haruskah vaksin sinovac,-1,-1,-1
