,tweet,bert_predict,lstm_predict,bert_lstm_predict
28,sebenernya pemerintah udah gaada alesan bilang covid barang baru gaada yg siap masalahnya bnyak yg berhasil menekan jadi pemerintah yg gk siap,-1,1,-1
29,covid membuat kesehatan mental orang tuh ngedown denger tetangga aja tenggorokan langsung sakit napas sesak pusing overthinking yg ku bantu mereka sembuh jgn aku keluargaku berada difase yg ga nyaman,-1,1,-1
30,klu sebagai mahasiswa yg baik anda membantu pemerintah untuk mengatasi masa covid supaya cepat teratasi hanya nyinyir aja tahu nya,-1,1,1
31,covid memang nyata broo janganlah bermain dg nyawa orang permudah bantu malah dibebani dipersulit kalo sakit masuk angin tanganilah dg semestinya sewajarnya bantu pemerintah utk menangani bantu masyarakat utk menghindari,-1,-1,1
32,hindari corona tetaplah hidup tak berguna,-1,-1,-1
33,vaksin ubat fungsi vaksin untuk mencegah penularan covid vaksin nidia bantu tingkatkan sistem ketahananimunisasi semulajadi utk badan jadi kurangkan risiko jangkitan virus tu tu konolah pakai topeng,-1,-1,-1
34,pengakuan pegawai dinkes doakan keluarga ya bu deva anak baru kena covid juga pegawai sampai jam tidur membantu pasien ya allah berikan pahala yg terhingga,1,-1,1
35,untuk bantu tangani pasien covid pemprov jatim kembali wacanakan kampung tangguh,1,1,1
36,pada rebutan vaksin kayak kalo lu hidup lebi bisa berguna aja warga,-1,-1,-1
37,sendiri cukup kesulitan untuk membujuk agar vaksin kemaren berhasil cara kalau ga di vaksin ga ada yg pulang kampung ga punya kartu vaksin ya niat vaksin sekedar biar punya kartu vaksin aja,-1,-1,-1
38,kami presiden ketua dprmpr situasi covid keuangan negara kesulitan serukan pejabat negara pusat daerah di minta ikhlasnya untuk serahkan gaji dlsb bulan untuk membantu masyarakat memenuhi kebutuhan dasar,1,1,1
39,kondisi dki jakarta ini mengalami kenaikan pasien covid sebesar untuk masyarakat tinggal daerah penyangga dki jakarta menaati protokol kesehatan covid mari samasama membantu kinerja bapak,1,1,1
40,yeay hari berhasil tdr bawah jam karna vaksin hihi doain biar lancar ya gais,1,-1,1
41,klo dibuat dana vaksinasi ma al sangat membantu,1,1,1
42,prihatin ini sampe suudzon keluarga poaitif covid sbg warga bantu sesuai aturan hari yang ngasih kebutuhan pangan baik mentah sudah masak,-1,1,-1
43,puan rs penuh pasien covid tak tahu ke baiknya ged mprdpr dijdkan rawat inap pasien covid jg anggota mprdpr tdk berguna jd jongos penguasa gmn setuju sodara,-1,-1,-1
44,temen positif jadi keinget berjuang bapak nga tau tba jadi sedih xixix covid menjadi salah satu fase terberat ku ga bapak jadi punya di share mreka makasih pak udh anak mu jadi pribadi yang berguna,1,-1,1
45,setahun ya jadi manusia berguna,-1,-1,1
46,coba dikumpulan dana csr bumn swastaalihkan kegiatan untuk membantu terdampak covid tapi memberi pengharapan,-1,1,1
47,pendidik pengasuh institusi pendidikan awal kanakkanak sarawak keutamaan vaksin covid ambil kira kontak fizikal perlu mengendong anakanak apabila menangis memimpin tandas membantu dalam aktiviti belajar datuk fatimah abdullah,1,1,1
48,herannya gk belajar diawal udh tau tinggi covid tetap aja penerbangan bebas keluar masuk rakyat dikunci giliran udah parah gini ya parah yang udah bertahan untuk tetap menghidupkan keluarga anak,-1,-1,-1
49,selamat ya untuk rezim berkuasa yg berhasil menangani covid fakta nya presiden sdh berani menjadi saksi pernikahan youtuber ib hrs dipenjara tuduhan kerumunan pernikahan anaknya mari berpikir waras,1,1,1
50,surat keterangan vaksin gak berguna semangat ya mentemen yg wfo harinya semoga sehat maklumi peraturan yg plinplan ya,-1,1,-1
51,mu klo ga niat menang mending jdi sukarelawan vaksin biar berguna,1,-1,1
52,mengucap bismillah hirrahman nirrahim mari bantu presiden dgn memohon kpd allah indonesia dibebaskan sgl wabah coronayg sakit disembuhkanampsmg allah senantiasa melindungi bppresiden jokowiampsemua tenaga medis terinfeksiampsehatampfit aamiin,1,-1,1
53,alhamdulillah vaksin sdh dpt aneh pd suntikan jarum gak nembus kulit baru berhasil stlh ganti yg baru tdk berburuk sangka bismillah semoga vaksin mmg benar brmanfaat usia lansia,1,-1,1
54,om swastyastu dibutuhkan donor plasma konvalesen penyitas covid untuk bapak gatot subadi daerah yogyakarta sekitarnya yang berkenan membantu menghubungi mba nurisa,1,1,1
55,plg sedih bab org tua pon budak yg kene covid tseksatakde ape bantukau bygkan mak ayah anak kau jexyah pk jauh sanggup aqu,-1,-1,-1
56,pokoknya dinyatakan negatif covid aku bakal jadi orangtetanggasaudara semangat membantu ngerasain banget gimana ga enaknya minta bantuan harus isolasi mandiri,1,1,1
57,asli demen banget nih aqua soalnya aqua tuh peduli banget mau bantu sukseskan vaksin cara nih billboard aqua,1,-1,1
58,penyitas covid bantu membantu yuk dgan berdonor darah pagi pasien covid mgkn tidak kenal pasien tsbt tp setetes darah sungguh berarti terimakasih,1,-1,1
59,gak di vaksin masukin penjara demi menyelamatkan rakyat lebih berguna,-1,-1,1
60,bukan anti vaksin jom bantu selamatkan negara,1,-1,1
61,malemmalem ngonsep surat besok seharian bantu jadi admin vaksinasi wey ini banyak ya bund disposisi yg ditindaklanjuti,-1,-1,-1
62,rakyat indonesia mari membantu meredakan peredaran virus corona keselamatan kolektif ayo bertobat nasional jangan sombongkan mari,1,-1,1
63,tau arti anarko ketidak mampuan pemerintah mengatasi munculnya gerakan relawan saling bantu menghadapi covid gerakan relawan anarko sesungguhnya seperti yg dituduhkan polisi asal pake baju hitam simbol,-1,-1,-1
64,kita bahas tentang tcm membantu dlm terapi penyembuhan covid cina materi dr temen tabib dokter tcm semoga membantu,1,1,1
65,vaksin boleh bantu lawan covid takut hisap rokok boleh datangkan cancer takut,-1,-1,-1
66,ini dlm keadaan darurat situasi normal mengenai vaksin nusantara dan membantu oke secara regulasi ada yg kurang ya dibantu ingat blm pemerintah memenuhi kebutuhan vaksin impor sedikit yg dibutuhkan,-1,1,-1
67,rakyat mendengar berita hari april negarawan negarawan yg ambil darahnya untuk uji klinis vaksin nusantara merasa senang karya anak bangsa yg membantu rakyat semoga berhasil membawa berkabulan puasa jabah kuasa semoga berhasil,1,1,1
68,gue habis vaksin ga kemeng ga muntah ga pusing nafsu makan literally nambah yaelah pdhl udh berhasil diet,1,-1,-1
69,alhamdulillah berhasil mengedukasi emak gue untuk vaksin bismillah sehatsehat,1,-1,1
70,negara yg dulu mengalami kasus juga berhasil menurunkan grafik sangat serius tetap kekuatan penuh mengerahkan basis riset teknologi sumber dayanya untuk mengatasi covid indonesia,1,1,1
71,pagi kesel nih tanya bisa bantu vaksin gk dikira gw tenaga kesehatan jadi inget ngajakin temen vaksin sampe maksa banget tp gamau pada panik minta bantu cari tau tempat vaksin karna persyaratan penerbangan wajib vaksin,-1,1,-1
72,omongan doa asli kemaren baru aja bilang pada balik lt mending perbantuan rs covid eh pas masuk dinas siang dapet kabar nel mulai tgl bantu rsus ya,-1,-1,-1
73,pemulihan anosmia hilang indra penciuman akibat covid cobalah resep konsumsi sop bumbu kencur pagi sore hari rutin minum seduhan jahe segar mau tidur keduanya memiliki aroma yang tajam khas membantu pemulihan anosmia,1,1,1
74,gw nyesel sih begadang pala gw sakit pas paginya ditambah gw nggak tugas sekolah kerjaan rumah mamak gw ngerjain semuanyapdhl gw bantu bangun gw telat mulu pli corona gw nggak semalas dan rasa ngambis gw tinggi banget,-1,-1,-1
75,efek vaksin berhasil membuatku loro kabeh sak awak,-1,-1,-1
76,indonesia turunkan kasus covid gampang bebaskan hrs minta didoakan diadakan taubat nasional tak kalah pentingnya minta beliau ikut kerahkan pikiran upayanya membantu pemerintah mengatasi musibah,1,-1,1
77,manusia bergerak manusia berhimpun virus berhimpun virus merebak berjangkit manusia bergerak berhimpun jadi duduk rumah kita telah kurangkan pergerakan ini membantu memutuskan rantaian jangkitan dg moh,-1,-1,-1
78,final besok jadiin ajang uji coba stadion penonton kasih aja tiket official organisasi resmi supporter klub penyelenggara suruh tanggung biaya vaksin nya terus klub bantu subsidi biaya transpodan penginapan supporter,1,-1,1
79,tementemen mau konsultasi soal covid vaksin langsung dm temenku dilla ya beliaunya perawat jadi bantu jawab pertanyaan makasih,1,1,1
80,tetanggaku positif covid terus isolasi mandiri rumah sekeluarganya org satu gang membantu nganterin makansembako dll beliau isoman baru hari isoman tadi beliau keluar rumah naik mobil keluarganya,1,1,-1
81,ketawa kenceng gua ngiri negara udah berhasil indonesia tahun parah ya gara gara lu otaknya kosong nyepelein covid,-1,-1,-1
82,mereka koarmada ii ikut membantu vaksinasi tidak ringan bisa dihitung misalnya vaksin jumlahnya dan nakesnya vaksinatornya butuh,1,-1,1
83,butuh pendonor darah gol sudah terinfeksi covid berhasil sembuh untuk daerah kelapa gading jakarta utara ada yg berkenan dm nanti saya jelaskan persyaratannya terimakasih,1,-1,1
84,mendpt berita duka kabar kerabat sakit bendera kuning ambulance lewatinterpretasi otak sy mengarah covid memang benar ulah propaganda mrk mulai berhasil btw jadi punya koleksi sticker wa inna lillahi wa inna ilaihi rajiun yg,1,-1,1
85,tetangga yang meninggal sakit tua yang dateng pengen dateng bantubantu inget covid jd takut berkrumunan parno,-1,-1,-1
86,ekspetasi tahun semoga bebas corona bantu aamiin yaa,1,1,1
87,ga keun minggu yuks dibantu isi anda terkena covid bantu share yah,1,-1,-1
88,untk membantu mendistribusikan membuat industri kreatif hal perlengkapan medis apd alat pencegahan penyebaran covid pada daerahdaerah terpencil provinsi lampung,1,1,1
89,covid asal negara komunis akibatnya mesjid gereja rumah ibadah ditutup covid berhasil mengkomuniskan negara,-1,-1,-1
90,sepak bola belahan dunia adalah dewa vaksin corona berhasil menjangkau lapisan masyarakat krn iming nonton bola thok gila itu sukses brow,1,1,1
91,barusan ngobrol temen td pagi ke bekasi screening untuk donor plasma konvalesen malam dikabari belom donor plasma hb nya tinggi titer antibodinya bagus sedih merasa ga bs bantu pasien covid,-1,-1,-1
92,blt dd membantu masyarakat terdampak pandemi covid,1,1,1
93,gapapa mamah keren bantu nyembuhin orangorang positif covid bantu ngelindungin keluarga jugaa,1,1,1
94,virus covid berhasil meresahkanku ga kabarin seharian asal ga sampe besok,-1,-1,-1
95,ya allah berikanlah kemudahan mereka yg mendesak ke igd icu rs akibat kondisi pasiem covid yg membutuhkan layanan medis berikan jg kekuatan kesehatan keikhlasan kpd tenaga medis yg terus berjuang membantu pasien,1,1,1
96,dahlah manusia kalian ngurusin negara ga beres mending urusin kesehatan deh gak kena covid ya banyak rumah prokes kalo cari mati yaudah keluyuran ga usah pake masker semoga berhasil,-1,-1,-1
97,vaksin sudah paripurna membantu negara melawan covid saja mengutamakan protokol kesehatan keseharian,1,1,1
98,bilang panik ya nya panik banget pas tau temen positif covid gue hari abis kontak dia semoga hasil swab gue negatif bantu doa ya teman teman,-1,1,-1
99,bisa bantuin nemenin chat temen temenkeluarganya kena covid ku bantu saran sebisaku sedih banget,-1,-1,-1
100,bangsat alat swab bekas dicolok org pakein lg org baru lo nakes bukannya bantu ngurangin covid jd agen penyebar virus logikanya dmn sih,-1,-1,-1
101,presiden turun kalian yakin pemimpin berikut nya berhasil lawan covid ato hal ini terulang kalian tweet kek gini klo presiden gagal rakyat tweet gini mending rakyat aja yg jadi presiden dah,1,-1,-1
102,yg namanya relawan jokowi mestinya bantu jokowi sebelum dan pilpres sd jangan jabatan pemerintahan bumn lansung tidur kayak ular setelah memangsa bantu jokowi pamrih wabah covid inibuktikan anda,1,-1,-1
103,divaksin gak kebal covid katanya sabtu ntar awak divaksin semoga emang benarbenar membantu perkaea mikirin sendiri tp orang tua rumah harus jaga,-1,1,1
104,covid zionis menyerang warga palestin angka korban meningkat semoga allah membantu hamba nya,1,1,1
105,orang udah vaksin kali bisa kena covid yaa bingung banget anj tetangga gua kena covid udah vaksin kalijadi vaksin berguna ga sihh,-1,-1,-1
106,bener bener hari ngelihat pasien covid secara langsung rsu kanan kiri semua pake alat bantu pernafasan kalo pilihan td gak rs krna emang dr awal anaknya parnoan sebisa ngejauhin keramaian eh td gak mau harus ke rs,-1,-1,-1
107,barusan dapet kabar sepupuku dokter positif covid tiap hari sibuk wara wiri rs bantu tanganin upload sw temennya dokter meninggal,-1,-1,-1
108,halah kontol dikasih vaksin gratis ngamuk ngamuk takut dijadiin percobaan jadi tumbal takut dijadiin proyek depopulasi giliran yang bayar ngamuk ngamuk disebut biadab itu dengan yang bayar bantu naikin persentase vaksinisasi,-1,-1,-1
109,jadikan dirimu berguna nusa bangsa ikut vaksinasi ayo vaksin,1,-1,1
110,berita covid dimana buat trigger takut keluar rumah untuk baku bantu dirumah teman im sorry sahabat ku bisa mengendalikan parno,-1,1,-1
111,banauganda tukozese omuti oguyitibwa omukuza nnume gufumbe otekemu omunyo ogwekigeronnywa ojja kuba ogobye covid mu bulamu bwo bwonnatambuza obubaka buno butuuke ku buli munauganda tukuume obulamu bwa bantu baffe,-1,-1,-1
112,jumat jumat cepat berlalu ibu masak bapak membantu hari terang benderang hati kacau covid meradang,1,-1,-1
113,mengawali pagi semangat murid udah berantakan ikut pjj gue yakin ki hadjar dewantara ga berhasil motivasi anakanak tengah situasi belajar kaya gini sial kau covid,-1,-1,-1
114,semoga vaksin covid berhasil deh ya gue bner berharap bgt vaksinnya sukses,1,1,1
115,bantuan lansung tuna berpengaruh membantu proses kehidupan penerimanya masa pendemi covid ini,1,1,1
116,pandemi psbbppkmcovid sekolah daring istilah bakal menjadi sejarah untuk anak cucu stay safe biar cerita anak cucu klo berhasil melewati semua,1,1,1
117,coba bantu dolpino berpikir asia diperketat covid orang eropa nonton bola stadium hampir gapake masker milih ya corona,-1,-1,-1
118,dimulai hape rusak kena corona sk ppat turun happy kali hari berhasil bikin kue soes,-1,-1,-1
119,serology emang elo dicari tahu hasil vaksin ditubuh elo berhasil gak cek aja pikiran aja yuk yuk cek psikiater remah gak berisik,-1,-1,-1
120,manusia bergerak manusia berhimpun virus berhimpun virus merebak berjangkit manusia bergerak berhimpun jadi duduk rumah kita telah kurangkan pergerakan ini membantu memutuskan rantaian jangkitan,-1,-1,-1
121,bentuk upaya pencegahan covid walkot surabaya berkomitmen membantu pemprov jatim pertahankan vaksinasi tertinggi seindonesia,1,1,1
122,gila ya hari gw udh berjuang sembuh covid berhasil hari doang negatif bokap suruh bantuin om sm tante positif alias gw kontak erat terus skrng gw positif tapi gue disalah salahin bokap kek ya allah hidup emng janco,1,-1,-1
123,nyokap batu ke rumah tante gue kena covid alasan bantu sodara lillahi taala sumpah sekesel gue,-1,-1,-1
124,ketua komnas ham ahmad taufan damanik mengatakan mantan anggota laskar fpi mengawal eks pentolan fpi mrs tertawa berhasil mengelabui polisi tangkal hoax vaksin kovid,-1,-1,-1
125,resipien plasma konvalesen usia perempuan goldar karawang,-1,-1,-1
126,kasus korupsi bansos covid kasus tertidak masuk akal alias bisabisanya lu nilep duit dipake bantu orang dimasa pandemi gini,-1,-1,-1
127,sudah membentuk antibodi secara alami untuk orang terinfeksi covid belum ada antibodi jadi vaksin membantu membentuk antibodi untuk orang,-1,1,-1
128,guys kl ortunya vaksin sebaiknya diantar banyak lumayan bingung salut para pekerja membantu proses vaksin sabar banget,1,1,1
129,bantu temen dear rekan ini saudara sedang rawat rs moeis samarinda covid ini membutuhkan donor plasma bergolongan darah ab untuk terapi plasma konvalesen ciriciri kriteria pendonor konvalesen,1,1,-1
130,selamat pagi kecuali anak marah mak ayah buat silap semasa isi borang cucuk vaksin boeh bantu ayah dia yang terketarketar tu isikan emang dasar misyka,-1,-1,-1
131,resipien plasma konvalesen usia lakilaki goldar jakarta barat,1,-1,1
132,pls corona cepet pergi aja gw sekolah biar kasi uang jajan trus beli album biar ayah gw jga pulang dah gedeg gw dirumah jadwal jadi berantakan belom mandi belom bantu bersihin rumah tugas blom aduu tolong ya udah pusing,-1,-1,-1
133,cerita keluarga terpapar covid tinggal komplekperumahan perlakuan tetangga ada mau bantu obat makanan uang dll ada juga tidak peduli dibuly jadi guncingan tetangga,-1,-1,-1
134,kader posyandu keliling rumah bantu ortu kontrol tumbuh kembang anak coba vaksin begitu distribusinya malah buka emol sananya aja cenat cenut hhe,-1,-1,-1
135,gaes bantu doanya uncle yang dirawat salah satu rumah sakit johor bahru jatuh dalam kamar pas sholat ashar semalam hari ini belum sadarkan lagi kasihan auntie gak ke rs covid sana,-1,-1,-1
136,yaallah takut dipecat gara ga berhasil daftar vaksin bos,-1,-1,-1
137,kartu vaksin berguna,1,-1,1
138,liat snap wa temen gua anak ffs lg bantuin nge vaksin outfitnya pdh um ngakak bgt gua astagfirullah emg um berguna menyinari dunia wkwkwkw,1,-1,1
139,hal pihak owner jajaran lembaga dikatakan salah bisa terus menerus membuka pendaftaran baru ditengah naik covid ppkm safety apapun prokes yg dijalankan tetap gak berguna dalam satu kerumunan orang bergejala,-1,-1,-1
140,mau bantu perjuangan syahid jalankan prokes lakukan vaksinasi berdoa nyebarin hoax dah gitu aja,-1,-1,1
141,menyalahkan penyebab covid naik ngga berefek menuru angka covid menjalankan prokes social distancing bisa membantu meminimalisir penularannya,-1,1,-1
142,seiring kelangkaan ketersediaan oksigen medis lonjakan pasien covid berdasar perintah komando atas bergerak cepat membantu ketersediaan oksigen sejumlah fasilitas layanan kesehatan magetan sekitarnya,1,1,1
143,tolong bantu pakrelawan covid rsud cengkarengdari thn bln april blum trima gaji insentifnyamereka punya keluarga yg penuhi kebutuhannya,1,1,1
144,lepas kopi emg ga mudah mesti pelan nguranginnya dgn niat hati yg kuat udh minggu gw ga ngopi niatnya krn kemarin vaksin mgg sblm vaksin rutin minum kelapa ijo vaksin ga rutin tp tetep minum sd ini gw berhasil ga minum kopi,1,-1,-1
145,bangga warga indonesia saling bantu menangani covid warga ya warga pemerintah,1,1,1
146,ada yg tau cara daftar menjadi peserta vaksin syg coba cek apk pedulilindu tulisannya nik belum terdaftar jadi penerima vaksin makasih yg udah bantu jawab,-1,-1,1
147,temen yg bsa bantu ga jd tmn skls suami nya skrg lg bth bgt kamar krn kondisi nya bnr bnr drop bgt saturasi nya udh skrg beliau kena covid sdh bbrp hr ttp smp skrg msh cr rs yg kamar ny msh ksg,-1,-1,-1
148,tetangga rumah ibunya positif terpapar covid berasal dr bis karyawan bapak anaknya yg serumah negatif sdh seminggu isolasi mandiri alhamdullilah lingkungan ga panik santai aja malah turut bantu sediain kebutuhan keluarga tsb,1,-1,1
149,vaksin ktp kontak puskesmas vaksin asal bawa org lansia udah pendatang rada ansos tetangga gak percaya kopit udah nunggu temen asli yg bantu,-1,-1,-1
150,dah berhasil daftar vaksin ayo coba lihat lama nunggunya,-1,-1,1
151,mau daftar vaksin depok kecamatan beji kemana ya liat websiteinternet gak dapet nih yg bantu,-1,-1,-1
152,covidiot membantu nyebarin covidnah yg nyebarin nya gak di salahin nyalahin yg cuma bantu bantu aja,1,-1,1
153,berhasil registrasi vaksin,1,-1,1
154,barangkali cara membantu penanganan covid mudah menggunakan masker dengan beropini anehaneh,-1,1,-1
155,bukan negara maju ramai rakyat berada ditakuk cukup makan setahun covid melanda negara perlu penelitian sewajarnya pada pihak dalam membantu rakyat menangani permasalahan,-1,1,-1
156,hayu atuh bantu memutus mata rantai penyebaran covid dah bosen,-1,-1,-1
157,kantor bantu nyariin vaksin keluarga keluarga mau vaksinasi,-1,1,1
158,covid menjadi tongkat musa banyak negara berhasil membongkar kebobrokan politisi pendukungnya,-1,-1,-1
159,covid nampak dipermukaan tak acuh mengasingkan pasien butuh perhatian bantuan tak seharusnya kau semena menjauhi perhatian hal yg mulia menjaga membantu insyaallah dicatat amalan baik disisi nya,1,-1,1
160,syg ayah nyepelein banget soal protokol kesehatan juga gamau vaksin kita sekeluarga dikasih privilage untuk vaksin gratis katanya ngapain vaksin gunanya kalo udah vaksin tetep pake makser ya apa gimana ya nyadarin ayahku bantu cont,-1,1,-1
161,uang dibagikan untuk membantu masyarakat terdampak pandemi covid berasal penghasilan kanal youtube miliknya kisahnya,1,1,-1
162,untung tetangga disni baik pd bantu org yg kena covid bantu jg nyari oksigen tanya keadaan suka deh sm tetangga ku,1,1,1
163,yang engga percaya covid engga jadi relawan aja sih bantu nakes lumayan hemat apd sm hazmat pada petantang petenteng wag,-1,-1,1
164,tidk ditolak akur pi rumah skt penyangga lah yg ngikut membantu rsud syarifah ambami rato ebhu bangkalan diputuskan tim satgas covid jatim rumah skt penyangga kata khofifah,-1,1,-1
165,pfizer inc mitranya jerman biontech mengatakan akan menyumbangkan dosis vaksin covid untuk membantu memvaksinasi atlet delegasi berpartisipasi olimpiade paralimpiade tokyo,1,1,1
166,rakyat petugas menikmati blt bansos anggaran menangani virus covid delta urusan berhasil gak berhasil nantik kalau tangani doa parpol kenyang anggaran yang punya ahlian disepelekan biar terima uang,1,-1,-1
167,hai sahabat birrbi efek wabah corona nyata salah satunya penutupan tempat wisata ekonomi mati bismillah adanya teknologi membantu jalannya roda perekonomian tetap semangat,1,1,1
168,udah daftar vaksin selasa besok tinggal nunggu kabar berhasil engga,-1,-1,1
169,dgn terus berusaha keadaan terkendali penyebaran covid tantangan berat informasi terkait covid pemerintah berusaha untuk keselamatan rakyat semoga berhasil,1,1,1
170,ada yg bilang ambulance mondar mandir pakai sirene hanya sbgai spg covid cobalah buka hati kalian klo ituu orang yg bakal membantu sigap mungkin pertama yg menyelamatkan nyawamu,-1,-1,1
171,gimana yah kalo misalkan orang pernah reaktif covid lalu isolasi mandiri karantina rs mencatat perkembangan kesehatan harian bikin diary berdasarkan dirasain masing orang akan jadi hal yang berguna gituh,-1,1,1
172,penasaran sejauh ada berhasil meyakinkan orangtua antivax ec whatsapp untuk vaksin engga ya caranya gimana,-1,-1,-1
173,terima kasih ketua kampung tuai rumah pejabat residen bahagian sukarelawan semua yg turut membantu setakat semalam individu sarawak berdaftar untuk progam vaksinasi covid pejabat residen bahagian mysejahtera,1,1,1
174,ya allah caca mohon bantu caca untuk mengembalikan kerajinan keambisan kepintaran kecerdasan lainnya ke dalam caca sudah hilang semenjak corona libur minggu terus berlanjut ga tau sampe ini,-1,-1,-1
175,resipien plasma konvalesen usia perempuan goldar tangerang selatan,1,-1,-1
176,berita ttg keluarga kawan terinfeksi covid silih berganti jam rasanya ga bernafas hilang konsentrasi ada yg bs dilakukan membantu semampunya mencoba bernafas berdiam dan bernafas,-1,-1,-1
177,vaksinasi mobile desa desa tunggu updatenya terus komunikasi telepon dgn puskesmas terdekat ya bantu bp ibu saudara yg ga familiar cara update informasi jarak jauh,-1,-1,-1
178,susu beruang bukan susu yg asalnya beruang jgn cebong susu sapi yg mereknya beruang seperti susu bukan obat covid seperti susu lainya yg berguna utk imun stamina,-1,-1,-1
179,seneng nonton berita kepedulian contoh dishub turun tangan bantu angkut gas tabung udarakisah pak rw galang dana warganya yg positif rwnyagerakan vaksin dll,1,-1,1
180,kadang capek peka orang peka disimpen yang ngebela ham peka urusan berduit kadang nari emang ga sedih orang frik macem disapu bersih covid membantu yang teriak bela ham,-1,-1,-1
181,dampak ekonomi akibat covid semakin terasa kita diajar memisahkan yg penting yg kurang penting mana yg penting pakaian baru dana darurat telur rokok partyparty membantu yg ekonominya terhimpit covid,-1,1,-1
182,itu penting banget mengapresiasi selamatkan umkm berhasil bangkit melalui masamasa sulit pandemi covid,1,1,1
183,kepedulian masing msyrkat provinsi jatim lini terbawah menjd modal penting penyebaran covid jawa timur bsa berhasil tekan di turunkan,1,1,1
184,gw heran knp pd rame protes vaksin gotong royong biarin ajalah yg emg bayar wna perusahaan pribadi bs bantu ngurangin pengeluaran negara kn cm opsi ga ush mikir kmn sampe blg ancaman keadilan sosial indonesia sih,-1,-1,-1
185,udah seminggu masih berat rasanya pas covid teteh yg hari ngirim stok makanan kebutuhan isoman kemarin pas teteh covid bisa bantu nelpon belasan rs tangerang yg teteh dedek bayi kandungannya berpulang allah,-1,1,-1
